Frequency (Hz),Level (dBm)
63.25,-95.82
63.26,-90.68
63.27,-91.65
63.28,-89.76
63.29,-97.61
63.30,-92.32
63.31,-99.40
63.32,-98.69
63.33,-96.04
63.34,-90.92
63.35,-99.19
63.36,-97.06
63.37,-93.59
63.38,-102.63
63.39,-94.81
63.40,-93.18
63.41,-94.02
63.42,-92.81
63.43,-91.97
63.44,-93.34
63.45,-89.05
63.46,-100.39
63.47,-98.44
63.48,-104.05
63.49,-93.16
63.50,-91.73
63.51,-89.42
63.52,-96.81
63.53,-90.70
63.54,-99.10
63.55,-90.69
63.56,-89.38
63.57,-92.51
63.58,-93.48
63.59,-97.99
63.60,-94.13
63.61,-97.06
63.62,-88.78
63.63,-94.50
63.64,-91.38
63.65,-95.66
63.66,-91.84
63.67,-97.50
63.68,-96.24
63.69,-90.22
63.70,-93.55
63.71,-88.13
63.72,-90.07
63.73,-87.79
63.74,-90.80
63.75,-89.46
63.76,-97.32
63.77,-90.55
63.78,-98.08
63.79,-88.59
63.80,-91.19
63.80,-95.05
63.81,-92.59
63.82,-89.23
63.83,-92.19
63.84,-93.09
63.85,-92.09
63.86,-90.65
63.87,-91.11
63.88,-86.52
63.89,-91.55
63.90,-90.25
63.91,-97.32
63.92,-105.02
63.93,-97.19
63.94,-94.26
63.95,-104.24
63.96,-94.32
63.97,-93.26
63.98,-94.79
63.99,-92.78
64.00,-95.96
64.01,-99.17
64.02,-92.89
64.03,-91.64
64.04,-96.21
64.05,-95.42
64.06,-92.72
64.07,-92.34
64.08,-91.45
64.09,-98.98
64.10,-92.96
64.11,-93.79
64.12,-92.86
64.13,-92.92
64.14,-95.05
64.15,-96.69
64.16,-93.90
64.17,-89.73
64.18,-93.94
64.19,-95.04
64.20,-90.99
64.21,-91.97
64.22,-94.76
64.23,-91.97
64.24,-88.05
64.25,-90.99
64.26,-98.37
64.27,-96.18
64.28,-98.22
64.29,-94.12
64.30,-90.43
64.31,-93.01
64.32,-98.06
64.33,-100.94
64.34,-95.43
64.35,-96.40
64.36,-94.11
64.37,-99.80
64.38,-95.33
64.39,-94.93
64.40,-93.65
64.41,-98.02
64.42,-91.46
64.43,-93.44
64.44,-97.04
64.45,-91.59
64.46,-89.97
64.47,-92.55
64.48,-85.18
64.49,-88.05
64.50,-88.20
64.51,-88.02
64.52,-90.11
64.53,-91.21
64.54,-91.50
64.55,-89.25
64.56,-85.69
64.57,-92.91
64.58,-93.13
64.59,-91.88
64.60,-94.31
64.61,-92.67
64.62,-101.84
64.63,-99.09
64.64,-102.54
64.65,-100.69
64.66,-94.58
64.67,-88.86
64.68,-93.85
64.69,-92.82
64.70,-93.21
64.71,-99.97
64.72,-92.86
64.73,-90.83
64.74,-88.23
64.75,-94.18
64.76,-90.01
64.77,-92.34
64.78,-99.88
64.79,-90.36
64.80,-92.47
64.81,-98.47
64.82,-96.26
64.83,-91.43
64.84,-86.50
64.85,-93.97
64.86,-92.64
64.87,-91.18
64.88,-98.94
64.89,-91.53
64.90,-95.74
64.91,-96.42
64.92,-97.80
64.93,-94.76
64.94,-91.47
64.95,-93.43
64.96,-94.30
64.97,-87.75
64.98,-87.89
64.99,-93.63
65.00,-92.98
65.01,-91.94
65.02,-94.58
65.03,-88.93
65.04,-94.53
65.05,-92.41
65.06,-97.86
65.07,-91.10
65.08,-96.42
65.09,-95.88
65.10,-93.50
65.11,-91.16
65.12,-98.26
65.13,-88.59
65.14,-88.70
65.15,-94.86
65.16,-95.33
65.17,-88.24
65.18,-89.81
65.19,-90.23
65.20,-87.39
65.21,-93.92
65.22,-96.95
65.23,-87.06
65.24,-93.00
65.25,-93.92
65.26,-91.26
65.27,-96.35
65.28,-95.08
65.29,-91.12
65.30,-94.70
65.31,-94.15
65.32,-93.49
65.33,-93.29
65.34,-94.70
65.35,-91.11
65.36,-89.57
65.37,-94.35
65.38,-90.71
