Zone_1,Zone_2,Type,Order,Distance,Frequency_MHz,Severity,Device_1,Device_2,Parent_Freq1,Parent_Freq2
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,49.695,Medium,RFWS Senn  36Mhz 662-698 - ',Senn EM3732 A - ACR4 RF 2,683.7,472.365
Parking Lot   East and West Stage,Zone 3,Cross-Zone,3f1-2f2,86.31,50.1,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - Mathew McNiven #4,471.8,682.65
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,50.165,Medium,RFWS Senn  36Mhz 662-698 - NAME GOES HERE,Senn EM3732 A - ACR4 RF 1,681.125,470.805
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,50.275,Medium,Shure PSM-1000 G10 - NAME GOES HERE,RFWS Senn  36Mhz 662-698 - ',472.825,684.1
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,50.275,Medium,Shure PSM-1000 G10 - NAME GOES HERE,RFWS Senn  36Mhz 662-698 - ',472.825,684.1
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,50.295,Medium,Lectrosonics 100 KHz Block 26 - 'B/2,Senn EM3732 A - ACR4 RF 2,683.4,472.365
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f2-2f1,12.04,50.6,Medium,Shure PSM-1000 L8 - ',Generic Generic - CP24 Intercom Tx,688.775,476.05
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,50.725,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectrosonics 100 KHz Block 26 - 'D/D,475.375,687.7
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,50.725,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectrosonics 100 KHz Block 26 - 'D/D,475.375,687.7
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,51.075,Medium,Shure PSM-1000 G10 - NAME GOES HERE,RFWS Senn  36Mhz 662-698 - ',472.825,683.7
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,51.075,Medium,Shure PSM-1000 G10 - NAME GOES HERE,RFWS Senn  36Mhz 662-698 - ',472.825,683.7
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,51.305,Medium,RFWS Senn  36Mhz 662-698 - ',Senn EM3732 A - ACR2 RF 19,681.425,471.385
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,51.4,Medium,Shure PSM-1000 G10 - NAME GOES HERE,RFWS Senn  36Mhz 662-698 - ',473.2,684.1
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,51.4,Medium,Shure PSM-1000 G10 - NAME GOES HERE,RFWS Senn  36Mhz 662-698 - ',473.2,684.1
Zone 1,Zone 3,Cross-Zone,3f1-2f2,73.98,51.415,Medium,Senn EM3732 A - ACR4 RF 1,Generic - Brett Harman #6,470.805,680.5
