Frequency (Hz),Average,Median,Range,Std Dev,Variance,PSD (dBm/Hz)
,-84.601,-84.601,18.432,13.033,169.869,-124.601
,-81.895,-81.895,13.020,9.207,84.760,-121.895
,-83.464,-83.464,16.157,11.425,130.524,-123.464
,-86.930,-86.930,23.091,16.328,266.597,-126.930
,-86.205,-86.205,21.640,15.302,234.145,-126.205
,-87.084,-87.084,23.397,16.544,273.710,-127.083
,-87.940,-87.940,25.109,17.755,315.231,-127.940
,-85.727,-85.727,20.685,14.627,213.935,-125.727
60.631,,,,,,
,-80.821,-80.821,10.871,7.687,59.089,-120.821
,-80.971,-80.971,11.171,7.899,62.396,-120.971
,-82.144,-82.144,13.519,9.559,91.382,-122.144
,-86.046,-86.046,21.321,15.076,227.293,-126.046
,-86.878,-86.878,22.986,16.254,264.178,-126.878
,-87.499,-87.499,24.228,17.132,293.498,-127.499
,-87.538,-87.538,24.307,17.188,295.415,-127.538
,-86.940,-86.940,23.110,16.341,267.036,-126.940
,-86.281,-86.281,21.792,15.409,237.446,-126.281
60.739,,,,,,
,-80.366,-80.366,9.962,7.044,49.621,-120.366
,-80.030,-80.030,9.290,6.569,43.152,-120.030
